timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1758083694788,2188,test-website ,200,OK,Thread Group 1-4,text,true,,36203,240,10,10,https://www.cognizant.com/us/en,544,0,153
1758083694701,2277,test-website ,200,OK,Thread Group 1-3,text,true,,36203,240,10,10,https://www.cognizant.com/us/en,631,0,240
1758083694788,556,test-website -0,301,Moved Permanently,Thread Group 1-4,,true,,319,120,10,10,http://www.cognizant.com/us/en,544,0,153
1758083694701,643,test-website -0,301,Moved Permanently,Thread Group 1-3,,true,,319,120,10,10,http://www.cognizant.com/us/en,631,0,240
1758083695348,1628,test-website -1,200,OK,Thread Group 1-4,text,true,,35884,120,10,10,https://www.cognizant.com/us/en,1411,0,1237
1758083695349,1629,test-website -1,200,OK,Thread Group 1-3,text,true,,35884,120,10,10,https://www.cognizant.com/us/en,1414,0,1236
1758083695386,1885,test-website ,200,OK,Thread Group 1-10,text,true,,36203,240,10,10,https://www.cognizant.com/us/en,250,0,140
1758083695386,250,test-website -0,301,Moved Permanently,Thread Group 1-10,,true,,319,120,10,10,http://www.cognizant.com/us/en,250,0,140
1758083695637,1634,test-website -1,200,OK,Thread Group 1-10,text,true,,35884,120,10,10,https://www.cognizant.com/us/en,1128,0,948
1758083694701,2570,test-website ,200,OK,Thread Group 1-1,text,true,,36203,240,10,10,https://www.cognizant.com/us/en,631,0,240
1758083694701,643,test-website -0,301,Moved Permanently,Thread Group 1-1,,true,,319,120,10,10,http://www.cognizant.com/us/en,631,0,240
1758083695349,1922,test-website -1,200,OK,Thread Group 1-1,text,true,,35884,120,10,10,https://www.cognizant.com/us/en,1381,0,1236
1758083695183,2089,test-website ,200,OK,Thread Group 1-8,text,true,,36203,240,10,10,https://www.cognizant.com/us/en,347,0,134
1758083695183,347,test-website -0,301,Moved Permanently,Thread Group 1-8,,true,,319,120,10,10,http://www.cognizant.com/us/en,347,0,134
1758083695531,1741,test-website -1,200,OK,Thread Group 1-8,text,true,,35884,120,10,10,https://www.cognizant.com/us/en,1232,0,1054
1758083694886,2388,test-website ,200,OK,Thread Group 1-5,text,true,,36203,240,10,10,https://www.cognizant.com/us/en,1344,0,1053
1758083694886,1344,test-website -0,301,Moved Permanently,Thread Group 1-5,,true,,319,120,10,10,http://www.cognizant.com/us/en,1344,0,1053
1758083696232,1042,test-website -1,200,OK,Thread Group 1-5,text,true,,35884,120,10,10,https://www.cognizant.com/us/en,1038,0,498
1758083695084,2425,test-website ,200,OK,Thread Group 1-7,text,true,,36203,240,10,10,https://www.cognizant.com/us/en,446,0,233
1758083695084,446,test-website -0,301,Moved Permanently,Thread Group 1-7,,true,,319,120,10,10,http://www.cognizant.com/us/en,446,0,233
1758083695532,1977,test-website -1,200,OK,Thread Group 1-7,text,true,,35884,120,10,10,https://www.cognizant.com/us/en,1228,0,1053
1758083694701,2809,test-website ,200,OK,Thread Group 1-2,text,true,,36203,240,10,10,https://www.cognizant.com/us/en,631,0,240
1758083694701,643,test-website -0,301,Moved Permanently,Thread Group 1-2,,true,,319,120,10,10,http://www.cognizant.com/us/en,631,0,240
1758083695348,2162,test-website -1,200,OK,Thread Group 1-2,text,true,,35884,120,10,10,https://www.cognizant.com/us/en,1919,0,1237
1758083696982,736,test-website ,200,OK,Thread Group 1-3,text,true,,36203,240,10,10,https://www.cognizant.com/us/en,530,0,286
1758083696982,530,test-website -0,301,Moved Permanently,Thread Group 1-3,,true,,319,120,10,10,http://www.cognizant.com/us/en,530,0,286
1758083697512,206,test-website -1,200,OK,Thread Group 1-3,text,true,,35884,120,10,10,https://www.cognizant.com/us/en,130,0,0
